"run_id","block","engine","language","corpus","k","iters","threads","rep","fit_sec","wall_sec","max_rss_kb","r2","coherence_mean","coherence_median","coherence_sd","version"
"bigartm__ap__k100__i10__t2__r1","threads","bigartm","Python","ap",100,10,2,1,8.02435691,8.78,332260,0.17929641379,0.13350161714,0.11739432453,0.092412375519,"0.9.2"
"bigartm__ap__k100__i10__t2__r2","threads","bigartm","Python","ap",100,10,2,2,8.2778624301,9.04,331084,0.18488579654,0.1506303182,0.1240635945,0.10139770037,"0.9.2"
"bigartm__ap__k100__i10__t2__r3","threads","bigartm","Python","ap",100,10,2,3,8.086154371,8.86,332424,0.18476329927,0.15290419299,0.12499697886,0.096596892546,"0.9.2"
"bigartm__ap__k100__i10__t4__r1","threads","bigartm","Python","ap",100,10,4,1,7.5228823922,8.29,352340,0.17929640918,0.13350161714,0.11739432453,0.092412375519,"0.9.2"
"bigartm__ap__k100__i10__t4__r2","threads","bigartm","Python","ap",100,10,4,2,7.7141711619,8.47,350680,0.18488579814,0.1506303182,0.1240635945,0.10139770037,"0.9.2"
"bigartm__ap__k100__i10__t4__r3","threads","bigartm","Python","ap",100,10,4,3,7.5467031789,8.36,355036,0.18476329433,0.15290419299,0.12499697886,0.096596892546,"0.9.2"
"bigartm__ap__k100__i10__t8__r1","threads","bigartm","Python","ap",100,10,8,1,7.755649515,8.51,389596,0.17929641415,0.13350161714,0.11739432453,0.092412375519,"0.9.2"
"bigartm__ap__k100__i10__t8__r2","threads","bigartm","Python","ap",100,10,8,2,7.7055416489,8.46,390744,0.18488579501,0.1506303182,0.1240635945,0.10139770037,"0.9.2"
"bigartm__ap__k100__i10__t8__r3","threads","bigartm","Python","ap",100,10,8,3,7.7549500051,8.54,385480,0.18476329576,0.15290419299,0.12499697886,0.096596892546,"0.9.2"
"bigartm__ap__k100__i10__t12__r1","threads","bigartm","Python","ap",100,10,12,1,7.6449077618,8.41,401304,0.17929641386,0.13350161714,0.11739432453,0.092412375519,"0.9.2"
"bigartm__ap__k100__i10__t12__r2","threads","bigartm","Python","ap",100,10,12,2,7.6777949156,8.46,409612,0.18488580232,0.1506303182,0.1240635945,0.10139770037,"0.9.2"
"bigartm__ap__k100__i10__t12__r3","threads","bigartm","Python","ap",100,10,12,3,7.9234564523,8.72,411116,0.1847632873,0.15290419299,0.12499697886,0.096596892546,"0.9.2"
"bigartm__ap__k100__i25__t1__r1","frontier","bigartm","Python","ap",100,25,1,1,20.8679508739,21.61,331144,0.19468099117,0.1475921837,0.13250494215,0.10294165665,"0.9.2"
"bigartm__ap__k100__i25__t1__r2","frontier","bigartm","Python","ap",100,25,1,2,20.7863035668,21.52,331708,0.19719280943,0.16706406343,0.15410111797,0.10186286314,"0.9.2"
"bigartm__ap__k100__i25__t1__r3","frontier","bigartm","Python","ap",100,25,1,3,20.50004351,21.23,331508,0.19782411409,0.15808582675,0.1421873752,0.097995427752,"0.9.2"
"bigartm__ap__k200__i10__t1__r1","k","bigartm","Python","ap",200,10,1,1,15.8365958519,16.68,356032,0.23814026616,0.1327891533,0.10874886358,0.094208104895,"0.9.2"
"gensim__ap__k25__i10__t1__r1","k","gensim","Python","ap",25,10,1,1,10.687571031,12.4,163028,0.096267034032,0.13456435327,0.11765745296,0.08624127916,"4.4.0"
